method,epoch,train_loss,val_macro_f1,val_roc_auc,val_worst_group_acc,val_worst_group_auc,val_max_abs_fpr_gap,val_threshold,is_best_epoch,best_epoch_so_far,best_val_metric_so_far,epochs_without_improvement,selected_epoch,selected_val_metric,selected_threshold
erm,1,0.2781288316258994,0.7969223097320776,0.9320684453975981,0.5944363103953147,0.800941068456992,0.09709518056694136,0.59,True,1,0.9320684453975981,0,2,0.9369417716440438,0.26999999999999996
erm,2,0.17289623107923113,0.8080879912767269,0.9369417716440438,0.6222547584187409,0.8103651889534883,0.13626925400181214,0.26999999999999996,True,2,0.9369417716440438,0,2,0.9369417716440438,0.26999999999999996
erm,3,0.1255929550022611,0.8075423375563446,0.9337640517554952,0.6090775988286969,0.8089571220930233,0.08467200342489527,0.5299999999999999,False,2,0.9369417716440438,1,2,0.9369417716440438,0.26999999999999996
erm,4,0.08048463608983837,0.7983837930982499,0.9284680701336023,0.5973645680819912,0.7941497093023255,0.12493977506435978,0.7499999999999999,False,2,0.9369417716440438,2,2,0.9369417716440438,0.26999999999999996
erm,5,0.04714200325051794,0.7884749363554391,0.921464347302075,0.6134699853587116,0.7853273655821427,0.12666147435339886,0.7,False,2,0.9369417716440438,3,2,0.9369417716440438,0.26999999999999996
cda,1,0.28541851065656987,0.8011206356288884,0.9328239280343876,0.5915080527086384,0.7992217781007752,0.12596284160288532,0.4599999999999999,True,1,0.9328239280343876,0,1,0.9328239280343876,0.4599999999999999
cda,2,0.16467052692376474,0.7995651518246252,0.9270523709989733,0.6413793103448275,0.8025981104651163,0.1809255943392156,0.37999999999999995,False,1,0.9328239280343876,1,1,0.9328239280343876,0.4599999999999999
cda,3,0.08861466753903939,0.7871981633949725,0.9217556844479338,0.6061493411420205,0.7876169162793367,0.13428578135850308,0.74,False,1,0.9328239280343876,2,1,0.9328239280343876,0.4599999999999999
cda,4,0.04635026435680453,0.790027047400673,0.9149716477497252,0.6105417276720352,0.7922268653100775,0.13268944898514,0.15999999999999998,False,1,0.9328239280343876,3,1,0.9328239280343876,0.4599999999999999
clp,1,0.620203045627955,0.7906807739821109,0.926589987830909,0.5402635431918009,0.7729681443798451,0.13031110559142928,0.4599999999999999,True,1,0.926589987830909,0,2,0.9340444624995821,0.20999999999999996
clp,2,0.4285942186670535,0.8039393307529867,0.9340444624995821,0.6500732064421669,0.7983284883720931,0.1933601761518949,0.20999999999999996,True,2,0.9340444624995821,0,2,0.9340444624995821,0.20999999999999996
clp,3,0.37091227319768016,0.8057002864802681,0.9333680829834536,0.6193265007320644,0.7912730135658915,0.13982296461942845,0.43999999999999995,False,2,0.9340444624995821,1,2,0.9340444624995821,0.20999999999999996
clp,4,0.3266469880633647,0.8071515263327289,0.9303171999892045,0.6032210834553441,0.7969658430232558,0.12485898937823056,0.4699999999999999,False,2,0.9340444624995821,2,2,0.9340444624995821,0.20999999999999996
clp,5,0.2883845857437462,0.8063283294312078,0.9256415560162883,0.6076134699853587,0.8016139777131783,0.14376331065804282,0.35999999999999993,False,2,0.9340444624995821,3,2,0.9340444624995821,0.20999999999999996
proposed,1,0.9970197097953323,0.7887702508004717,0.9267113867003636,0.5124450951683748,0.7720294331395349,0.06564879021784485,0.8699999999999999,True,1,0.9267113867003636,0,2,0.9359302486708057,0.63
proposed,2,0.7042658724024168,0.8011161483985227,0.9359302486708057,0.554904831625183,0.799812257751938,0.08085054931351902,0.63,True,2,0.9359302486708057,0,2,0.9359302486708057,0.63
proposed,3,0.5752279022160698,0.799776710988094,0.934681365983503,0.6398243045387995,0.7928779069767442,0.12722042033218556,0.8099999999999999,False,2,0.9359302486708057,1,2,0.9359302486708057,0.63
proposed,4,0.4884927643991797,0.806414155145353,0.9307048103156512,0.6910688140556369,0.79788941375969,0.20166620346775693,0.71,False,2,0.9359302486708057,2,2,0.9359302486708057,0.63
proposed,5,0.41819907604809614,0.8067646667535442,0.924436681048564,0.6310395314787701,0.8009023740310077,0.15492274422762026,0.72,False,2,0.9359302486708057,3,2,0.9359302486708057,0.63
